order_id,restaurant_id,customer_id,cuisine,order_time,delivery_time,delivery_duration_minutes,distance_km,rating,amount
e36da6f6-5bc7-4b85-aeb1-0dcd07734577,93,50,Chinese,2025-07-19T02:41:48.756452,2025-07-31T02:03:40.948980,17241.87,14.93,3.0,88.01
caa66a7c-397d-4ac4-98d4-3a9ec6fb924b,73,161,Italian,2025-01-26T01:40:06.274558,2025-04-23T08:34:13.022330,125694.11,1.14,3.0,103.07
8fe82d57-7abb-410f-9c99-a9a5e36a9167,82,254,American,2025-02-01T02:52:16.594680,2025-05-02T12:59:22.637167,130207.1,5.26,5.0,35.95
d992bfde-bd22-497d-bbe5-296245523355,63,260,American,2025-04-03T05:54:25.449093,2025-07-25T04:23:58.594123,162629.55,8.11,2.0,155.5
3f132b77-2393-46b3-a903-dad27f87a469,93,78,American,2025-07-21T15:27:00.465345,2025-08-22T11:49:55.673191,45862.92,7.2,1.0,166.19
7cf942c3-0c49-4cfd-930a-840bb9d8aa9c,59,255,Italian,2025-07-13T08:10:01.539434,2025-08-15T22:23:04.917473,48373.06,8.39,1.0,127.78
9ab0d5bb-69df-4ca8-ac31-3cf76146dc4a,42,275,Mexican,2025-05-24T22:43:46.342829,2025-07-26T19:55:19.101295,90551.55,16.76,5.0,174.09
efd66afb-280e-460b-8cd7-7b2d539bde91,78,209,American,2025-04-30T02:28:53.192963,2025-08-21T09:19:39.574623,163130.77,18.59,3.0,102.9
e891005f-070b-4e8e-a8f0-7f54ad6b2613,55,249,Mexican,2025-04-20T13:49:46.681533,2025-05-12T10:41:08.691069,31491.37,12.03,,157.87
6dc85501-7f5d-4c36-99b4-bfb916ce49be,83,75,Italian,2025-02-12T04:24:24.510024,2025-04-15T00:05:07.838233,89020.72,12.51,1.0,198.45
a30f09b3-22cf-478e-a6cd-a2225a029d77,36,484,Mexican,2025-02-02T18:47:54.272307,2025-03-22T15:09:44.075571,68901.83,14.74,2.0,64.64
358b9892-8cea-4529-999e-f691e40f33eb,63,268,Indian,2025-03-22T11:43:22.140456,2025-06-05T05:39:58.626567,107636.61,6.65,,67.21
59459db8-4510-49bf-9d0f-da3a8c70d7ff,37,471,Chinese,2025-03-07T20:18:58.460804,2025-06-30T02:18:39.985267,164519.69,16.51,2.0,175.98
beace675-7428-44de-b878-d057db71604b,29,29,Indian,2025-08-14T03:59:19.515102,2025-09-15T04:00:27.417552,46081.13,8.68,,88.99
b84ebec6-e3a7-47b2-ab60-71595a2ac206,50,343,Indian,2025-06-14T13:20:44.306473,2025-06-27T02:08:54.034018,18048.16,4.43,,170.4
735b9d47-7dd3-4858-90a4-79b567940b1d,28,272,Italian,2025-01-27T19:36:45.733510,2025-02-06T11:49:44.882160,13932.99,16.32,2.0,176.76
c9d690c2-3f20-4b97-a398-f30bd82a55d1,5,340,Italian,2025-07-10T06:47:34.305038,2025-08-15T03:57:41.448439,51670.12,4.73,4.0,113.49
f429494e-1ec6-491d-b225-e5921682787a,38,182,Italian,2025-05-22T17:38:53.028306,2025-06-11T01:36:05.075813,27837.2,19.78,,198.31
3c8f99d7-17c4-42fb-886e-21087c08e22a,20,268,American,2025-07-07T15:27:59.785175,2025-07-15T12:15:13.304788,11327.23,17.38,5.0,147.87
