order_id,restaurant_id,customer_id,cuisine,order_time,delivery_time,delivery_duration_minutes,distance_km,rating,amount
13a8c58b-4b8e-4d4d-b7be-d36ca2467889,70,355,mexican,2025-07-12 08:13:48.564701,2025-07-20 08:35:58.155609,11542.159848466668,9.93,3.0,195.09
ae2cfe83-56e9-4418-95bf-99bd159c7384,37,232,american,2025-02-22 15:14:46.805333,2025-03-20 07:04:33.623084,36949.78029585,3.99,4.0,118.95
9ed56111-b1e9-42ce-b75f-a10ef2da6884,41,279,mexican,2025-06-29 07:00:08.324188,2025-07-30 08:16:09.691631,44716.02279071666,13.96,5.0,118.49
0a659746-e915-4ad3-bdd3-905bf4eafc1b,45,446,italian,2025-02-07 19:05:26.961156,2025-06-05 00:21:18.379224,168795.85696779998,8.48,1.0,142.78
d7363d5c-d5bd-4b52-b7f0-08f1312214dc,53,334,mexican,2025-04-16 08:53:25.326994,2025-08-18 15:20:19.002888,178946.89459823334,2.41,3.0,99.25
11fc61f4-4403-412f-a3af-cdfc191c0423,91,317,italian,2025-05-12 17:13:34.341584,2025-09-02 14:21:21.589152,162547.78745946666,10.02,2.0,198.08
6afd5a68-5339-498f-81ed-a6d66f5bc961,78,20,chinese,2025-02-12 01:09:06.560948,2025-04-14 03:10:20.535305,87961.23290594999,3.98,4.0,150.84
4edab72e-704e-4ba0-a03a-e7ddf87cac4a,66,295,indian,2025-04-06 08:08:55.793763,2025-05-12 17:42:12.608354,52413.28024318333,7.52,4.0,193.12
839a2e69-8954-4270-b616-27708f281e16,99,282,chinese,2025-02-15 12:37:29.735263,2025-04-18 22:52:18.696147,89894.81601473334,5.37,3.0,97.26
e051a33a-2906-4f4d-98f5-7c9bb246ee1d,20,296,indian,2025-08-06 06:38:18.147575,2025-08-09 10:31:29.315193,4553.186126966667,15.9,1.0,19.26
31a599c9-3d99-4be8-84e7-5435e4c11e4e,37,326,chinese,2025-06-06 17:30:42.569458,2025-07-06 14:45:01.730653,43034.31935325,2.51,5.0,55.54
8937dc1c-7047-4f09-ae45-6849f1eb85b6,19,238,indian,2025-07-03 17:45:33.348899,2025-07-16 22:00:45.668573,18975.2053279,9.94,2.0,128.88
84ebe232-fc22-4130-acbc-71711953e3cc,48,295,mexican,2025-03-23 12:24:12.607521,2025-05-06 21:10:52.233395,63886.66043123334,4.82,1.0,124.12
269df1e5-bf37-4d7b-b307-3d55f0d84da7,53,190,american,2025-08-31 12:23:36.726259,2025-09-12 10:04:27.534109,17140.8467975,12.0,1.0,67.44
15b7f61d-e0ec-4700-b944-5e6833a3113e,23,483,mexican,2025-08-01 20:11:58.791253,2025-08-27 22:07:03.879493,37555.084804,19.15,5.0,97.8
7fc99684-ddff-4029-a776-ab50c34ffa87,61,356,indian,2025-05-16 01:07:08.824752,2025-08-07 11:13:44.285032,120126.59100466668,9.19,1.0,143.22
43707e23-3bbb-4715-b9d0-9bb39d301e8e,28,25,mexican,2025-05-10 12:43:28.541412,2025-06-12 22:17:51.505326,48094.3827319,14.04,4.0,94.83
e14bea08-59d8-4d6e-b37d-b6919f16e82c,32,131,italian,2025-03-01 23:50:01.175972,2025-06-22 05:15:46.065284,161605.74815519998,8.67,2.0,87.98
c6a5bcf8-01ce-40c6-9046-69fe814b5ef3,53,380,chinese,2025-08-07 19:58:29.027605,2025-09-03 00:44:42.681394,37726.22756315,8.68,3.0,116.0
e0a801ef-ec92-49ef-bb5a-4d526e41967e,34,353,italian,2025-08-01 13:21:53.224591,2025-08-01 23:22:20.105832,600.4480206833334,12.3,3.0,173.97
fd7d2390-01fe-40e8-b4be-8abc8636cf16,11,109,indian,2025-05-02 20:09:54.713903,2025-08-20 02:56:57.527438,157367.04689225,18.16,3.0,181.87
4e48d767-5fac-4335-9ba2-ab9b3f8831d0,82,427,indian,2025-06-20 15:44:01.370668,2025-09-14 22:11:41.155802,124227.66308556666,8.32,5.0,159.89
8ed24a23-9c82-428b-80e3-fbdff53dde42,54,394,american,2025-08-22 00:49:31.285388,2025-08-30 07:10:16.526255,11900.75401445,5.98,4.0,66.59
f75eea92-e897-4ec3-a19c-f8902a3e2735,25,155,italian,2025-06-09 19:51:23.261192,2025-07-27 23:44:30.644779,69353.12305978333,0.13,4.0,31.77
6f80b1dc-3f70-448a-b10f-8b9000edf2fc,32,223,american,2025-01-27 21:23:29.611033,2025-03-04 11:52:47.261204,51269.29416951667,7.17,5.0,50.92
